playerName,rating,cost,avgFantasyPoints
DrSpectred,7.205389631807055,7.0,9.675
Zaino,8.127105048203612,8.0,9.975
Bean,8.206449795228451,8.0,11.8
Vagabond,7.1156615868800515,7.0,8.25
Feinberg,5.174387234848901,7.0,8.325
Edzy,5.919379902780347,6.0,8.325
BelenosBear,5.971449171122973,5.0,6.275
Gothic,3.137032866369738,5.0,7.325
Fir,5.015325497107497,4.0,6.675
Rarran,5.1639981073481325,6.0,7.025
Sizaak,5.8768176107726156,5.0,6.725
Roffle,6.831012485780217,6.0,5.975
Nandre,2.969397376755695,3.0,3.7
Haelian,4.968883455022658,5.0,7.025
Seadubbs,3.9892614243644093,5.0,5.85
Nemo,1.8972149484216152,2.0,2.425
Malf,3.801594909742562,3.0,2.675
Skootie,3.9898538366778817,4.0,3.75
HCJustin,1.879582732195012,2.0,2.575
Neato,2.7602023785705767,2.0,2.225
